Ester library;Compound chemical class;Log P (+/- SD);;Smiles code;Preparation or commercial source or preparation;Brand;Ester concentration [mg/ml];Mw [g/mol];concentration [mM];Reaction buffer;Reaction pH;Volume reaction [ml];Additives (solvents);Additives (pH indicator);Reaction T (¼C);Enzyme amount [mg];Reaction time (h);Shaking [rpm];Assay method;Substrate;EH1(72);EH2(71);EH3(69);CalB(68);EH4(67);EH5(67);EH6(66);EH7(64);EH8(63);EH9(61);EH10(58);EH11(53);EH12(51);EH13(49);EH14(48);EH15(42);EH16(42);EH17(39);EH18(38);EH19(37);EH20(37);EH21(36);CalA(36);EH22(35);EH23(34);EH24(34);EH25(33);EH26(32);EH27(32);EH28(31);EH29(31);EH30(30);EH31(29);EH32(29);EH33(29);EH34(29);EH35(29);EH36(28);EH37(28);EH38(28);EH39(28);EH40(27);EH41(27);EH42(27);EH43(27);EH44(25);EH45(24);EH46(23);EH47(23);EH48(23);EH49(23);EH50(22);EH51(22);EH52(21);EH53(21);EH54(21);EH55(21);EH56(21);EH57(21);EH58(21);EH59(21);EH60(21);EH61(20);EH62(20);EH63(20);EH64(20);EH65(20);EH66(19);EH67(18);EH68(18);EH69(18);EH70(18);EH71(18);EH72(18);EH73(17);EH74(17);EH75(16);EH76(16);EH77(16);EH78(15);EH79(14);EH80(14);EH81(14);EH82(14);EH83(14);EH84(13);EH85(13);EH86(13);EH87(13);EH88(13);EH89(13);EH90(13);EH91(13);EH92(12);EH93(12);EH94(12);EH95(11);EH96(11);EH97(11);EH98(11);EH99(11);EH100(11);EH101(11);EH102(10);EH103(10);EH104(10);EH105(10);EH106(9);EH107(9);EH108(9);EH109(9);EH110(8);EH111(8);EH112(8);EH113(8);EH114(8);EH115(8);EH116(7);EH117(6);EH118(6);EH119(6);EH120(5);EH121(5);EH122(5);EH123(4);EH124(4);EH125(4);EH126(4);EH127(4);EH128(4);EH129(3);EH130(2);EH131(2);EH132(2);EH133(2);EH134(2);EH135(2);EH136(2);EH137(2);EH138(2);EH139(2);EH140(1);EH141(1);EH142(1);EH143(1);EH144(1);EH145(1)
Methyl (S)-(+)-mandelate;Aromatic ester (one ring - chiral);0.90;0.27;COC(=O)[C@H](C1=CC=CC=C1)O;http://www.sigmaaldrich.com/catalog/product/aldrich/251542?lang=es&region=ES;Sigma-Aldrich;1.14;166.17;6.84;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Methyl (S)-(+)-mandelate;114.44;12.75;103.04;1378.05;0.05;6.53;1.18;1.27;6.84;109.76;0.00;0.11;0.00;0.00;0.00;0.00;0.00;28.01;6.71;1717.22;0.00;3714.98;1361.30;0.00;0.00;11.77;6.46;48.49;0.00;9.40;0.00;752.11;0.00;0.00;7.26;1207.80;0.08;2.51;1.38;0.99;0.00;5.30;12.66;26.85;0.00;38.96;0.00;3.58;0.00;0.29;8.22;11.35;1.24;0.00;0.00;0.00;4.57;4.25;0.00;0.53;13.03;4.06;3.26;7.10;23.23;2.68;3.01;10.43;5.07;5.21;0.00;0.00;6.83;0.00;0.00;0.00;9.62;6.26;0.00;0.00;5.64;4.91;4.38;0.00;2.17;0.00;69.15;0.00;0.20;0.00;0.00;4.67;104.55;8.63;0.00;2.99;0.00;2.18;0.00;10.69;4.82;0.00;1.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.04;0.00;0.00;0.00;0.00;2.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.20;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl (R)-(+)-4-chloro-3-hydroxybutyrate [E(R)CHB];Alkyl ester (chiral hydroxy-halogenated);0.33;0.26;CCOC(=O)C[C@H](CCl)O;http://www.sigmaaldrich.com/catalog/product/aldrich/460516?lang=es&region=ES;Sigma-Aldrich;1.14;166.60;6.82;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);[E(R)CHB;1057.81;94.73;94.00;2942.02;1.14;144.79;12.36;4.66;2.99;6.05;0.01;10.35;6.08;0.27;4.88;0.26;10.71;22.49;7.19;153.75;0.09;7548.69;827.59;54.34;0.00;26.92;10.08;17.34;49.66;13.36;149.32;0.39;0.71;8.25;3.52;0.83;0.00;4.57;72.72;1.32;0.00;1.07;0.00;0.00;12.84;0.00;0.52;0.00;3.68;0.00;0.00;11.93;0.46;0.00;0.00;0.00;1.16;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;0.00;2.84;8.10;0.00;0.00;39.36;0.00;0.00;0.00;0.08;19.05;0.00;0.00;0.00;0.00;0.00;1.83;0.00;0.00;0.00;0.00;4.11;0.00;0.00;0.00;0.00;0.00;0.00;1.96;0.00;0.00;0.00;0.80;0.00;3.03;0.00;0.00;0.78;0.00;0.00;0.00;3.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl (S)-(?)-4-chloro-3-hydroxybutyrate [E(S)CHB];Alkyl ester (chiral hydroxy-halogenated);0.33;0.26;CCOC(=O)C[C@@H](CCl)O;http://www.sigmaaldrich.com/catalog/product/aldrich/460524?lang=es&region=ES;Sigma-Aldrich;1.14;166.60;6.82;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);E(S)CHB;6141.46;99.25;95.55;68450.63;1.39;1169.63;78.86;2.58;108.56;20.67;0.00;2.71;14.56;0.77;1.86;0.36;27.28;12.72;8.92;169.60;0.05;212.54;1423.24;100.38;0.00;28.14;9.81;13.35;58.55;26.20;121.01;0.82;9.29;4.31;2.61;14.94;0.00;1.36;190.19;1.02;0.00;2.51;0.00;0.00;5.65;0.00;1.19;0.00;0.00;0.00;0.00;14.42;1.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.31;0.00;0.00;0.00;0.00;0.00;2.46;10.26;0.00;0.00;69.17;0.00;0.00;0.00;0.02;7.45;0.00;0.00;0.00;0.00;0.00;4.91;0.00;0.00;0.00;0.00;7.82;0.00;0.00;0.00;0.00;0.00;0.00;10.71;0.00;0.00;0.48;1.51;0.00;11.64;0.00;0.00;1.88;0.00;0.00;0.00;7.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(+)-Ethyl D-Lactate;Alkyl ester (chiral hydroxylated);-0.19;0.25;CCOC(=O)[C@@H](C)O;http://www.sigmaaldrich.com/catalog/product/aldrich/69796?lang=es&region=ES;Sigma-Aldrich;1.14;118.13;9.62;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(+)-Ethyl D-Lactate;751.91;108.30;93.51;10311.81;12.42;767.15;234.50;4.20;7.94;69.46;0.03;0.16;9.98;13.38;5.32;0.00;81.62;0.77;7.01;56.18;0.15;0.00;0.00;2.25;16.44;22.95;0.00;9.49;58.24;0.00;12.10;1.01;0.28;27.99;3.57;3.34;0.00;0.15;0.17;0.00;0.00;4.97;11.85;0.00;0.00;12.88;1.71;0.00;0.00;6.33;1.00;0.00;0.27;0.00;60.11;0.00;0.00;0.00;0.00;0.00;0.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(?)-Ethyl L-lactate;Alkyl ester (chiral hydroxylated);-0.19;0.25;CCOC(=O)[C@H](C)O;http://www.sigmaaldrich.com/catalog/product/aldrich/e34102?lang=es&region=ES&gclid=CK_k3ruohMMCFY_MtAod1VIAKQ;Sigma-Aldrich;1.14;118.13;9.62;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(?)-Ethyl L-lactate;759.19;95.76;91.24;11110.70;2.04;694.42;106.03;7.73;12.53;60.08;0.05;0.24;31.56;23.91;13.63;0.00;65.00;12.31;6.39;103.97;0.20;0.00;0.00;14.80;30.48;27.20;0.00;9.73;69.02;0.00;106.33;3.50;23.56;13.87;22.19;4.23;0.00;7.41;114.71;0.00;0.00;7.02;500.38;0.00;0.00;5.56;4.67;0.00;7.38;0.29;0.23;0.00;0.15;0.00;1.81;0.00;0.00;0.00;0.00;0.00;1.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.62;0.30;0.00;0.00;0.00;0.00;2.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(+)-Methyl (S)-3-hydroxybutyrate;Alkyl ester (chiral hydroxylated);-0.55;0.23;C[C@@H](CC(=O)OC)O;http://www.sigmaaldrich.com/catalog/product/aldrich/243167?lang=es&region=ES;Sigma-Aldrich;1.14;118.13;9.62;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(+)-Methyl (S)-3-hydroxybutyrate;36.39;110.50;68.46;200.34;1.94;50.69;1.02;5.31;0.77;0.00;0.00;0.18;0.00;0.00;0.00;0.08;0.00;10.18;0.00;90.40;0.66;0.00;0.00;0.00;0.00;0.00;0.00;5.77;0.00;6.22;0.00;0.81;0.00;17.60;0.00;1.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.72;0.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Benzoic acid, 4-formyl-, phenylmethyl ester [BFPME];Aromatic ester (two rings);3.82;0.27;C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C=O;http://www.sigmaaldrich.com/catalog/product/aldrich/cds009750?lang=es&region=ES;Sigma-Aldrich;1.14;240.25;4.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);BFPME;7420.86;96.02;96.61;0.00;0.00;102.14;0.29;10.66;154.47;19.80;0.12;0.00;0.00;0.16;35.83;0.00;0.00;0.00;0.00;0.00;0.00;5586.03;0.00;0.00;0.00;9.78;0.00;0.00;70.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.36;8.84;0.00;0.00;0.00;0.00;0.00;0.00;12.34;0.00;0.00;1.02;0.00;5.15;0.00;0.00;5.01;4.22;4.10;5.54;0.00;0.00;0.00;6.98;3.67;0.00;0.00;3.86;101.69;0.00;0.00;21.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;142.55;41.08;6.27;0.00;0.00;0.00;20.07;24.79;0.00;0.00;0.00;0.00;0.00;0.00;4.71;1.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.70;0.00;0.00;0.69;0.00;0.00;0.00;6.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(-)-Methyl (R)-3-hydroxybutyrate;Alkyl ester (chiral hydroxylated);-0.55;0.23;C[C@H](CC(=O)OC)O;http://www.sigmaaldrich.com/catalog/product/aldrich/243159?lang=es&region=ES;Sigma-Aldrich;1.14;118.13;9.62;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(-)-Methyl (R)-3-hydroxybutyrate;696.92;102.58;95.35;11031.10;0.64;293.17;11.70;11.34;0.67;25.06;0.00;0.35;0.00;0.00;0.00;0.24;0.00;11.53;0.00;54.19;0.04;0.00;0.00;0.00;0.00;0.00;0.00;5.19;0.00;5.91;0.00;0.65;8.56;0.04;0.00;5.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.72;0.00;0.00;0.00;0.00;0.00;0.00;4.58;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(1R)-(+)-Neomenthyl acetate;Aryl ester (chiral);4.10;0.22;C[C@H]1CC[C@@H]([C@@H](C1)OC(=O)C)C(C)C;https://www.scbt.com/scbt/es/product/1r-neomenthyl-acetate-146502-80-9;Santa Cruz Biotechnology;1.14;198.30;5.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(1R)-(+)-Neomenthyl acetate;0.00;0.00;20.48;0.00;0.00;10.49;1.66;0.00;0.00;0.00;0.00;0.00;0.00;1.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;297.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(1S)-(+)-Neomenthyl acetate;Aryl ester (chiral);4.10;0.22;C[C@@H]1CC[C@H]([C@H](C1)OC(=O)C)C(C)C;https://www.scbt.com/scbt/es/product/1s-neomenthyl-acetate-2552-91-2;Santa Cruz Biotechnology;1.14;198.30;5.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(1S)-(+)-Neomenthyl acetate;0.00;0.00;10.03;0.00;0.00;13.15;1.52;0.00;0.00;0.00;0.01;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;215.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.00;0.00;0.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Propylparaben;Aromatic ester (one ring);2.93;0.22;CCCOC(=O)C1=CC=C(C=C1)O;http://www.sigmaaldrich.com/catalog/product/sial/phr1010?lang=es&region=ES;Sigma-Aldrich;1.14;180.20;6.31;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Propylparaben;266.48;66.84;66.78;0.00;0.41;53.01;4.79;1.55;2.15;0.00;0.00;0.08;0.00;0.00;6.07;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Butylparaben;Aromatic ester (one ring);3.46;0.22;CCCCOC(=O)C1=CC=C(C=C1)O ;http://www.sigmaaldrich.com/catalog/product/usp/1084000?lang=es&region=ES;Sigma-Aldrich;1.14;194.23;5.85;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Butylparaben;536.59;85.50;60.92;0.00;0.76;0.00;0.00;2.36;0.00;0.00;0.00;0.09;0.00;0.00;7.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Methyl 3-hydroxybenzoate;Aromatic ester (one ring);1.89;0.23;COC(=O)C1=CC(=CC=C1)O ;http://www.sigmaaldrich.com/catalog/product/aldrich/252794?lang=es&region=ES;Sigma-Aldrich;1.14;152.15;7.47;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Methyl 3-hydroxybenzoate;37.12;7.26;0.00;921.32;0.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.00;0.00;36.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.53;0.00;0.00;0.00;0.00;21.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Methyl 2-hydroxybenzoate;Aromatic ester (one ring);2.23;0.24;COC(=O)C1=CC=CC=C1O;http://www.sigmaaldrich.com/catalog/product/sial/m6752?lang=es&region=ES;Sigma-Aldrich;1.14;152.15;7.47;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Methyl 2-hydroxybenzoate;6.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
